Title,Body,Labels,Milestone,Assignees
"[E1][H1] Estrutura de Repositórios","Configurar repositórios (mono ou multi) e estrutura inicial.\nCritérios:\n- Repos criados\n- README e LICENSE presentes\n- .gitignore padronizado","epic:E1,feature:E1-F1,type:story,area:infra,priority:P1","S1",
"[E1][H2] Pipeline CI Inicial","Configurar pipeline (build + testes) para PR.\nCritérios:\n- Execução automática em PR\n- Status badge gerado","epic:E1,feature:E1-F2,type:story,area:infra,priority:P1","S1",
"[E1][H3] Docker Compose Dev","Subir ambiente local (DB + serviços stub).\nCritérios:\n- docker compose up funcional\n- Documentação uso","epic:E1,feature:E1-F3,type:story,area:infra,priority:P1","S1",
"[E1][H4] Logging Básico & CorrelationId","Implementar middleware logging estruturado com correlationId.\nCritérios:\n- Todos requests logados\n- correlationId propagado","epic:E1,feature:E1-F4,type:story,area:observabilidade,priority:P1","S1",
"[E1][H5] Gestão de Secrets & Chaves JWT","Definir .env.example e rotação de chaves JWT.\nCritérios:\n- Variáveis sensíveis fora do repo\n- Passo de rotação documentado","epic:E1,feature:E1-F5,type:story,area:seguranca,priority:P1","S1",
"[E2][H1] Login Básico","Implementar /auth/login retornando access + refresh.\nCritérios:\n- 200 credenciais válidas\n- 401 inválidas","epic:E2,feature:E2-F1,type:story,area:autenticacao,priority:P1","S1",
"[E2][H2] Refresh Token","Endpoint /auth/refresh invalidando anterior.\nCritérios:\n- Novo par emitido\n- Reuso token => 401","epic:E2,feature:E2-F2,type:story,area:autenticacao,priority:P1","S2",
"[E2][H3] Política e Troca de Senha","/auth/password/change com validações.\nCritérios:\n- Rejeita senha fraca\n- Auditoria registrada","epic:E2,feature:E2-F3,type:story,area:autenticacao,priority:P1","S2",
"[E2][H4] Recuperação de Senha","Fluxo solicitar + redefinir (token 1h).\nCritérios:\n- Email enviado\n- Token expira/uso único","epic:E2,feature:E2-F4,type:story,area:autenticacao,priority:P2","S2",
"[E2][H5] Rate Limit Login","Bloquear após 5 falhas por 15min.\nCritérios:\n- 429 após limite\n- Reset após sucesso","epic:E2,feature:E2-F5,type:story,area:seguranca,priority:P1","S2",
"[E2][H6] Auditoria Autenticação","Logar login, falha, bloqueio, refresh.\nCritérios:\n- Campos: usuario, ip, timestamp","epic:E2,feature:E2-F6,type:story,area:observabilidade,priority:P2","S2",
"[E2][H7] Segurança JWT Avançada","Claims (sub, roles, exp, iat, iss) RS256.\nCritérios:\n- Assinatura verificada\n- Tokens inválidos rejeitados","epic:E2,feature:E2-F7,type:story,area:seguranca,priority:P1","S2",
"[E3][H1] Cadastro Usuário","POST /usuarios com validações CPF/email.\nCritérios:\n- 201 sucesso\n- 409 duplicado","epic:E3,feature:E3-F1,type:story,area:usuarios,priority:P1","S3",
"[E3][H2] Consulta Perfil","GET /usuarios/me com CPF mascarado.\nCritérios:\n- 200 retornado\n- 401 sem token","epic:E3,feature:E3-F2,type:story,area:usuarios,priority:P1","S3",
"[E3][H3] Atualização Perfil","PUT /usuarios/me (sem alterar email/CPF).\nCritérios:\n- 200 dados atualizados\n- 400 se tentar mudar email","epic:E3,feature:E3-F3,type:story,area:usuarios,priority:P1","S3",
"[E3][H4] Promoção Usuário","Admin promove para promotor.\nCritérios:\n- 200 promoção\n- 403 sem permissão","epic:E3,feature:E3-F4,type:story,area:usuarios,priority:P2","S3",
"[E3][H5] Rebaixamento Usuário","Admin rebaixa promotor.\nCritérios:\n- 200 rebaixado\n- 409 se já participante","epic:E3,feature:E3-F5,type:story,area:usuarios,priority:P3","S3",
"[E3][H6] Exclusão Lógica Conta","DELETE /usuarios/me (soft delete).\nCritérios:\n- Status excluído\n- Login bloqueado","epic:E3,feature:E3-F6,type:story,area:usuarios,priority:P2","S3",
"[E3][H7] Auditoria Usuários","Log promoções/rebaixos/exclusões.\nCritérios:\n- Logs completos","epic:E3,feature:E3-F7,type:story,area:observabilidade,priority:P3","S3",
"[E4][H1] Criar Evento","POST /eventos (rascunho/ativo).\nCritérios:\n- 201 criado\n- Validações aplicadas","epic:E4,feature:E4-F1,type:story,area:eventos,priority:P1","S4",
"[E4][H2] Listagem Pública Eventos","GET /eventos paginado.\nCritérios:\n- Ordenação por dataInicio\n- 200/204","epic:E4,feature:E4-F2,type:story,area:eventos,priority:P1","S4",
"[E4][H3] Filtro Avançado Eventos","POST /eventos/filtrar.\nCritérios:\n- Combinação filtros\n- 400 inválidos","epic:E4,feature:E4-F3,type:story,area:eventos,priority:P2","S5",
"[E4][H4] Detalhes Evento","GET /eventos/{id} inclui vagasRestantes.\nCritérios:\n- 200 detalhe\n- 404 inexistente","epic:E4,feature:E4-F4,type:story,area:eventos,priority:P1","S4",
